Rec8
Mboat1
Hlx
Atp8b1
Gpr37
Spsb1
Gbp5
Rps19
Cables1
Syt15
Pkp2
Klhl6
Gjc2
Dmrta1
Zfp488
Serpinb1a
Lsm11
Rassf9
S1pr5
Insig1
Gjb2
Hmga1
Kcne4
Gjb1
Kmt2d
Acap2
Cdc42ep1
Cyp2g1
Fzd2
Ppp1r3g
Hs3st1
Olfml1
Lingo3
Islr2
Gfod1
BC068281
Klf13
Hbb-y
Gpr17
Creb5
Lifr
Lrrc8c
S100a9
1810011O10Rik
Chsy3
Sclt1
Fhit
Rpl26
Ksr2
Kdr
D630045J12Rik
Srrm4
Phactr4
Ppp1r3c
Uty
Il3ra
Eif2s3y
Ahnak
Hba-a1
1700084C01Rik
Rasgrp3
Ccnb1ip1
Ppp1r3e
H2-Ab1
Tmem88b
Hbb-bt
Adh1
Sox2
Bpifb4
B3galt5
Gm17414
Ms4a6c
Gm15631
BC064078
Sox2ot
Myl6
A930018M24Rik
Gm10406
Gm7094
Fam181a
4732491K20Rik
Gm26782
Bin2
Tubb6
Nav1
Vtn
Emp2
Park2
Prss41
Eci1
Lars
Camk2a
Cnksr2
Tnni1
Lamc2
Rgs5
Lypd6b
Olfml3
Rps3a1
Padi2
Hes3
Fbxo44
Col4a1
Rnps1
Zranb3
Arl5a
Mgat5
Decr2
Psenen
Trub2
Slc25a34
Gucy1a2
Kif21b
Shisa4
Id1
4930503L19Rik
Olfml2a
Tnrc6b
Lmod1
Tagap1
Aldh7a1
Kcnq3
Pyroxd2
Eno1
Chi3l1
Clasp1
Scnm1
Gm10524
RP24-390G17.1
Mut
Flnb
Nnt
Car8
Mup4
Enc1
5430402E10Rik
Cd24a
BC048546
Myh7
BC051076
Mup5
Obp2a
Obp1b
Obp1a
Ccl28
Gm2373
Gm14744
Obp2b
4930412C18Rik
Slc5a5
Col6a1
Lpl
Podxl
Fabp5
Tshb
Dis3l
Plvap
Tmem59l
Sgsm1
Epcam
Trank1
Grm4
Rps15
Srp54a
Klf4
Lrrc8a
Camk1g
Gm872
Ndufa12
Fam20a
Camkk1
Per1
Pcsk1
Fam107a
Myh9
Arhgap31
Ifnar1
Tnfrsf12a
Spry4
Pfkfb3
Schip1
Hsph1
Slc6a6
Bhlhe40
Emp1
Dusp4
Galnt7
Herpud1
Eomes
Galnt9
Dusp5
Adrb1
Dnajb5
Bend3
Eltd1
Jhdm1d
1700048O20Rik
Fat4
Marcksl1
Stbd1
Bdnf
Mex3d
Pdp1
Tnfaip6
1810037I17Rik
A930005H10Rik
Mettl7a1
Rpl30
Alox5ap
Rps7
Aldoart2
mt-Co1
Zfp810
Ly6a
Ly6c1
A930033H14Rik
Khsrp
Odc1
Kcnv1
Mpc1
Flywch2
Enpp4
Ppil1
Cpne5
Pi16
Spsb3
Adamts10
Adamts9
A2m
3110052M02Rik
Cramp1l
Gm129
Itpkb
Lyplal1
Zfp758
Pla2g4e
Arntl
H2-T22
Ide
H2-T23
Zfp760
9030025P20Rik
Hmga1-rs1
Rpl41
Gm9825
Tmem181b-ps
Plxdc1
Rnf185
Esco1
Herc6
Morc2a
Inpp5j
8430429K09Rik
Pyurf
Nhlrc1
3222401L13Rik
Selm
Gm14418
Gm14403
